state,year,ev_per_10000
Alabama,2016,1
Alabama,2017,2
Alabama,2018,3
Alabama,2019,4
Alabama,2020,6
Alabama,2021,9
Alabama,2022,17
Alabama,2023,25
Alaska,2016,3
Alaska,2017,5
Alaska,2018,7
Alaska,2019,10
Alaska,2020,12
Alaska,2021,18
Alaska,2022,27
Alaska,2023,37
Arizona,2016,7
Arizona,2017,10
Arizona,2018,18
Arizona,2019,27
Arizona,2020,40
Arizona,2021,56
Arizona,2022,89
Arizona,2023,121
Arkansas,2016,1
Arkansas,2017,1
Arkansas,2018,2
Arkansas,2019,3
Arkansas,2020,4
Arkansas,2021,8
Arkansas,2022,17
Arkansas,2023,23
California,2016,36
California,2017,48
California,2018,69
California,2019,89
California,2020,108
California,2021,144
California,2022,232
California,2023,322
Colorado,2016,10
Colorado,2017,14
Colorado,2018,22
Colorado,2019,33
Colorado,2020,43
Colorado,2021,64
Colorado,2022,103
Colorado,2023,153
Connecticut,2016,6
Connecticut,2017,8
Connecticut,2018,14
Connecticut,2019,19
Connecticut,2020,25
Connecticut,2021,37
Connecticut,2022,61
Connecticut,2023,87
Delaware,2016,3
Delaware,2017,4
Delaware,2018,8
Delaware,2019,13
Delaware,2020,19
Delaware,2021,30
Delaware,2022,53
Delaware,2023,81
District of Columbia,2016,9
District of Columbia,2017,12
District of Columbia,2018,16
District of Columbia,2019,26
District of Columbia,2020,35
District of Columbia,2021,55
District of Columbia,2022,88
District of Columbia,2023,119
Florida,2016,6
Florida,2017,8
Florida,2018,13
Florida,2019,19
Florida,2020,27
Florida,2021,44
Florida,2022,76
Florida,2023,113
Georgia,2016,17
Georgia,2017,14
Georgia,2018,15
Georgia,2019,18
Georgia,2020,22
Georgia,2021,31
Georgia,2022,55
Georgia,2023,84
Hawaii,2016,29
Hawaii,2017,38
Hawaii,2018,46
Hawaii,2019,62
Hawaii,2020,74
Hawaii,2021,99
Hawaii,2022,137
Hawaii,2023,178
Idaho,2016,2
Idaho,2017,4
Idaho,2018,6
Idaho,2019,9
Idaho,2020,12
Idaho,2021,18
Idaho,2022,30
Idaho,2023,43
Illinois,2016,5
Illinois,2017,6
Illinois,2018,11
Illinois,2019,15
Illinois,2020,20
Illinois,2021,29
Illinois,2022,53
Illinois,2023,79
Indiana,2016,2
Indiana,2017,3
Indiana,2018,5
Indiana,2019,8
Indiana,2020,10
Indiana,2021,15
Indiana,2022,26
Indiana,2023,38
Iowa,2016,1
Iowa,2017,2
Iowa,2018,3
Iowa,2019,5
Iowa,2020,7
Iowa,2021,12
Iowa,2022,19
Iowa,2023,28
Kansas,2016,2
Kansas,2017,3
Kansas,2018,6
Kansas,2019,8
Kansas,2020,11
Kansas,2021,15
Kansas,2022,26
Kansas,2023,38
Kentucky,2016,1
Kentucky,2017,2
Kentucky,2018,3
Kentucky,2019,4
Kentucky,2020,6
Kentucky,2021,9
Kentucky,2022,17
Kentucky,2023,26
Louisiana,2016,1
Louisiana,2017,1
Louisiana,2018,2
Louisiana,2019,3
Louisiana,2020,4
Louisiana,2021,7
Louisiana,2022,13
Louisiana,2023,18
Maine,2016,2
Maine,2017,4
Maine,2018,6
Maine,2019,10
Maine,2020,14
Maine,2021,22
Maine,2022,36
Maine,2023,53
Maryland,2016,5
Maryland,2017,7
Maryland,2018,14
Maryland,2019,22
Maryland,2020,29
Maryland,2021,42
Maryland,2022,75
Maryland,2023,117
Massachusetts,2016,5
Massachusetts,2017,8
Massachusetts,2018,15
Massachusetts,2019,20
Massachusetts,2020,30
Massachusetts,2021,44
Massachusetts,2022,71
Massachusetts,2023,105
Michigan,2016,2
